artistName	artistID	genre	img	popularity	numFollowers
50 Cent	3q7HBObVc0L8jNeTe5Gofh	east coast hip hop	https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2	83	4673586
A$A P Rocky	13ubrt8QOOCPljQ2FL1Kca	east coast hip hop	https://i.scdn.co/image/cce607c4d975ae49d68b484eaef51a6413fa73b1	87	4651699
Sebastian Yatra	07YUOmWljBTXwIseAUd9TW	colombian pop	https://i.scdn.co/image/fbdaf139959dc227503f81cabdbe7a2a4c17d9f4	86	4637191
blink-182	6FBDaR13swtiWwGhX1WQsP	modern rock	https://i.scdn.co/image/13c19c58c4eab773fef96c616587f0c5c7565e55	80	4533796
System Of A Down	5eAWCfyUhZtHHtBdNk56l1	alternative metal	https://i.scdn.co/image/76245f096873524d6b507c093854a41fb90b9ae0	80	4403483
Halsey	26VFTg2z8YR0cCuwLzESi2	dance pop	https://i.scdn.co/image/61a7a59f2220299105568e7fea2e34398cce3810	91	4370186
John Legend	5y2Xq6xcjJb2jVM54GHK3t	neo soul	https://i.scdn.co/image/2bcc50240e556e832fde021700fdca5629d31440	82	4357963
Muse	12Chz98pHFMPJEknJQMWvI	modern rock	https://i.scdn.co/image/12450535621500d6e519275f2c52d49c00a0168f	83	4318227
J A Y Z	3nFkdlSjzX9mRTtwJOzDYB	bulgarian hip hop	https://i.scdn.co/image/2e925c2f793f835eb8ec84cd71dffce12e3abc11	82	4280377
B L A C K P I N K	41MozSoPIsD1dJM0CLPjZF	k-pop	https://i.scdn.co/image/95da0c5f4e950694b2546489caa486ddff148853	84	4234347
Alessia Cara	2wUjUUtkb5lvLKcGKsKqsR	canadian contemporary r&b	https://i.scdn.co/image/aaee9d17ecc9ad4c1b6d757041993ddfea34a047	82	4213045
Kelly Clarkson	3BmGtnKgCSGYIUhmivXKWX	dance pop	https://i.scdn.co/image/0e874611a108fcd361c92a665a991ba18a852050	79	4148086
Tyga	5LHRHt1k9lMyONurDHEdrp	hip hop	https://i.scdn.co/image/01f30cfdd39a885fa8e630670b535ab32c8b18eb	87	4130275
Ricky Martin	7slfeZO9LsJbWgpkIoXBUJ	dance pop	https://i.scdn.co/image/bfc8d115e0ea8cb3e540569ffd87aeb890a1115e	75	4112259
Ne-Yo	21E3waRsmPlU7jZsS13rcj	dance pop	https://i.scdn.co/image/d48ffaffc20a3c76f79d81b7b940df9a380b5e7c	81	4112122
The Killers	0C0XlULifJtAgn6ZNCW2eu	indie rock	https://i.scdn.co/image/a841f0ee4f2d88c42f55f76c2cc6b588841f5d2f	80	4100801
